mgs_id	species	met_id	metabolite	class	subclass	rho	pval	n
hMGS.01559	Intestinimonas massiliensis	met_100020823	lithocholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	0.188644576896604	3.35701503390931e-43	5742
hMGS.01559	Intestinimonas massiliensis	met_999918901	X - 18901	""	""	0.179269116210612	4.08366948745723e-39	5742
hMGS.01559	Intestinimonas massiliensis	met_100000010	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	0.178167536993829	1.19286171466108e-38	5742
hMGS.01559	Intestinimonas massiliensis	met_100004295	2-piperidinone	Xenobiotics	Food Component/Plant	-0.176473266327833	6.1193799081139e-38	5742
hMGS.01559	Intestinimonas massiliensis	met_100002253	cinnamoylglycine	Xenobiotics	Food Component/Plant	0.175381144110639	1.74045315271762e-37	5742
hMGS.01559	Intestinimonas massiliensis	met_999924531	X - 24531	""	""	0.248219799417849	3.10389162128815e-35	2616
hMGS.01559	Intestinimonas massiliensis	met_100002014	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Lipid	Progestin Steroids	0.165449660547033	1.71118120443804e-33	5742
hMGS.01559	Intestinimonas massiliensis	met_999921733	X - 21733	""	""	0.160647463721735	1.19341315241553e-31	5742
hMGS.01559	Intestinimonas massiliensis	met_100006105	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	0.156577680976435	3.9353728075577e-30	5742
hMGS.01559	Intestinimonas massiliensis	met_100004284	dimethyl sulfone	Xenobiotics	Chemical	0.153676283771449	4.49472577646566e-29	5742
hMGS.01559	Intestinimonas massiliensis	met_999924795	X - 24795	""	""	-0.152962795745786	8.12226258378818e-29	5742
hMGS.01559	Intestinimonas massiliensis	met_100004111	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	0.151992106307337	1.80844041654212e-28	5742
hMGS.01559	Intestinimonas massiliensis	met_100020542	11beta-hydroxyetiocholanolone glucuronide*	Lipid	Androgenic Steroids	0.150376706025076	6.7726616971616e-28	5742
hMGS.01559	Intestinimonas massiliensis	met_100001170	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.15027986969863	7.32714825091457e-28	5742
hMGS.01559	Intestinimonas massiliensis	met_100002568	L-urobilin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	0.148683760942479	2.66054372628272e-27	5742
hMGS.01559	Intestinimonas massiliensis	met_100001658	taurolithocholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	0.148550360347878	2.96141157604354e-27	5742
hMGS.01559	Intestinimonas massiliensis	met_100002049	4-hydroxycoumarin	Xenobiotics	Drug - Cardiovascular	0.147384423522292	7.52201850150929e-27	5742
hMGS.01559	Intestinimonas massiliensis	met_100021374	branched chain 14:0 dicarboxylic acid**	Lipid	Fatty Acid, Dicarboxylate	0.145720096318173	2.80894468002029e-26	5742
hMGS.01559	Intestinimonas massiliensis	met_100001624	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	-0.145445041862436	3.48711915400907e-26	5742
hMGS.01559	Intestinimonas massiliensis	met_999915461	X - 15461	""	""	-0.141923138013746	5.35832138914379e-25	5742
hMGS.01559	Intestinimonas massiliensis	met_999912816	X - 12816	""	""	0.141677996899905	6.46413846429713e-25	5742
hMGS.01559	Intestinimonas massiliensis	met_999911299	X - 11299	""	""	0.14069369794798	1.3684510261688e-24	5742
hMGS.01559	Intestinimonas massiliensis	met_100001034	indoleacetate	Amino Acid	Tryptophan Metabolism	0.139200810121178	4.22492642775024e-24	5742
hMGS.01559	Intestinimonas massiliensis	met_100001988	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Progestin Steroids	0.13863808036654	6.44142074763198e-24	5742
hMGS.01559	Intestinimonas massiliensis	met_100004318	indolin-2-one	Xenobiotics	Food Component/Plant	0.137337310591176	1.69617992072314e-23	5742
hMGS.01559	Intestinimonas massiliensis	met_999922162	X - 22162	""	""	-0.137228339667039	1.83871619238416e-23	5742
hMGS.01559	Intestinimonas massiliensis	met_100001615	octadecanedioate (C18-DC)	Lipid	Fatty Acid, Dicarboxylate	0.135904606431422	4.874578456109e-23	5742
hMGS.01559	Intestinimonas massiliensis	met_100003470	pregnanediol-3-glucuronide	Lipid	Progestin Steroids	0.135182947602585	8.26064762714634e-23	5742
hMGS.01559	Intestinimonas massiliensis	met_100001657	glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	0.134112568889425	1.79680528274765e-22	5742
hMGS.01559	Intestinimonas massiliensis	met_100020819	glycoursodeoxycholic acid sulfate (1)	Lipid	Secondary Bile Acid Metabolism	-0.129140437463702	6.11630754349949e-21	5742
hMGS.01559	Intestinimonas massiliensis	met_100020975	3-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	0.129128649477602	6.16668374290356e-21	5742
hMGS.01559	Intestinimonas massiliensis	met_100002911	glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	-0.127081826411474	2.53290967538649e-20	5742
hMGS.01559	Intestinimonas massiliensis	met_999921442	X - 21442	""	""	0.12640293510013	4.0266121533401e-20	5742
hMGS.01559	Intestinimonas massiliensis	met_100004182	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	0.125700269116119	6.48878270519902e-20	5742
hMGS.01559	Intestinimonas massiliensis	met_100006082	4-hydroxychlorothalonil	Xenobiotics	Chemical	0.122816569770262	4.4708899120259e-19	5742
hMGS.01559	Intestinimonas massiliensis	met_100002122	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	-0.122236985616112	6.55392844986856e-19	5742
hMGS.01559	Intestinimonas massiliensis	met_100002488	isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	-0.121092636389254	1.3872308360745e-18	5742
hMGS.01559	Intestinimonas massiliensis	met_100001466	3-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	-0.120402981215287	2.17228341608217e-18	5742
hMGS.01559	Intestinimonas massiliensis	met_100020410	3-hydroxyhippurate sulfate	Xenobiotics	Benzoate Metabolism	-0.119436862721691	4.05398263542853e-18	5742
hMGS.01559	Intestinimonas massiliensis	met_999924410	X - 24410	""	""	-0.172673364503006	1.27984341178339e-17	2616
hMGS.01559	Intestinimonas massiliensis	met_999925503	X - 25503	""	""	0.11654416257311	2.54739805024188e-17	5742
hMGS.01559	Intestinimonas massiliensis	met_339	glutarate (C5-DC)	Lipid	Fatty Acid, Dicarboxylate	-0.116488470693297	2.63798358862296e-17	5742
hMGS.01559	Intestinimonas massiliensis	met_100001055	isobutyrylcarnitine (C4)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.114947528533054	6.89094626771201e-17	5742
hMGS.01559	Intestinimonas massiliensis	met_999917612	X - 17612	""	""	0.15501330237809	1.16121268327461e-16	3126
hMGS.01559	Intestinimonas massiliensis	met_100003434	imidazole propionate	Amino Acid	Histidine Metabolism	-0.113867710692336	1.34025769276773e-16	5742
hMGS.01559	Intestinimonas massiliensis	met_999923587	X - 23587	""	""	-0.112739518456114	2.66766494292124e-16	5742
hMGS.01559	Intestinimonas massiliensis	met_100001102	dodecanedioate (C12-DC)	Lipid	Fatty Acid, Dicarboxylate	0.11148656915394	5.68396193842815e-16	5742
hMGS.01559	Intestinimonas massiliensis	met_331	gamma-glutamylglutamate	Peptide	Gamma-glutamyl Amino Acid	-0.109565293565627	1.78360540617491e-15	5742
hMGS.01559	Intestinimonas massiliensis	met_925	heptanoate (7:0)	Lipid	Medium Chain Fatty Acid	0.106622165485553	9.89565199776158e-15	5742
hMGS.01559	Intestinimonas massiliensis	met_100009042	5-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	0.104919082907901	2.61138332482263e-14	5742
hMGS.01559	Intestinimonas massiliensis	met_100021650	chenodeoxycholic acid sulfate (1)	Lipid	Primary Bile Acid Metabolism	0.152580657611058	4.75354095902627e-14	2616
hMGS.01559	Intestinimonas massiliensis	met_100020371	N,N-dimethylalanine	Amino Acid	Alanine and Aspartate Metabolism	0.10273787539736	8.84698185274672e-14	5742
hMGS.01559	Intestinimonas massiliensis	met_2049	4-acetaminophen sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	0.100865728264833	2.47092384696472e-13	5742
hMGS.01559	Intestinimonas massiliensis	met_999926119	X - 26119	""	""	0.212779765017534	9.29013242683187e-13	1240
hMGS.01559	Intestinimonas massiliensis	met_999924411	X - 24411	""	""	-0.126572563708469	1.45006650499037e-11	3126
hMGS.01559	Intestinimonas massiliensis	met_999915503	X - 15503	""	""	0.0925758504985371	1.86637235584927e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100004326	3-acetylphenol sulfate	Xenobiotics	Chemical	-0.0924315254134223	2.00585084895651e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_1258	anthranilate	Amino Acid	Tryptophan Metabolism	0.103539397574436	2.44972661273409e-11	4502
hMGS.01559	Intestinimonas massiliensis	met_999911483	X - 11483	""	""	0.0914312699613658	3.29546920424698e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100008920	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	Lipid	Sphingomyelins	0.0906571172075431	4.82197253833875e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100001287	epiandrosterone sulfate	Lipid	Androgenic Steroids	0.0902789964302649	5.80053426889092e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100002856	glycyrrhetinate	Xenobiotics	Food Component/Plant	0.0902142822694414	5.98643983107239e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100005998	octadecanedioylcarnitine (C18-DC)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	0.0896763056035233	7.77486983954151e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100001609	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol	-0.0895400669666336	8.3049582060426e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_100001510	phenol sulfate	Amino Acid	Tyrosine Metabolism	-0.0891864108422876	9.85136032080725e-11	5742
hMGS.01559	Intestinimonas massiliensis	met_999912740	X - 12740	""	""	-0.0883077500526465	1.50144070930275e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_1124	citrate	Energy	TCA Cycle	0.0879526486056429	1.77815960173845e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_100006619	4-hydroxyphenylacetoylcarnitine	Amino Acid	Tyrosine Metabolism	-0.0871436743504457	2.60768922181582e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_999912543	X - 12543	""	""	-0.127688194955975	3.02522328333503e-10	2616
hMGS.01559	Intestinimonas massiliensis	met_100003432	dihydroferulate	Xenobiotics	Food Component/Plant	-0.0867851607207033	3.08653748241799e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_100020842	N,N-dimethyl-5-aminovalerate	Amino Acid	Lysine Metabolism	0.0962403372657439	5.52515473964504e-10	4502
hMGS.01559	Intestinimonas massiliensis	met_999917357	X - 17357	""	""	-0.0854916823397287	5.63888241058686e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_100006098	3-hydroxypyridine sulfate	Xenobiotics	Chemical	0.0847955323161402	7.77097896371645e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_100002029	androstenediol (3beta,17beta) monosulfate (2)	Lipid	Androgenic Steroids	-0.0844911883053057	8.93349527093899e-10	5742
hMGS.01559	Intestinimonas massiliensis	met_100020853	4-acetylcatechol sulfate (1)	Xenobiotics	Food Component/Plant	0.0838524723178511	1.19509405772549e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_1104	methyl indole-3-acetate	Xenobiotics	Food Component/Plant	0.0833729590708989	1.4848168089399e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_999915728	X - 15728	""	""	0.0823927927196681	2.30540266248981e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100008984	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	-0.0817304980250819	3.0947180989682e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100002910	1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	0.0811561454615289	3.98759332989683e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100001992	androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids	-0.0808045806232176	4.65295471333429e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100005403	etiocholanolone glucuronide	Lipid	Androgenic Steroids	0.080703341091475	4.86380298021339e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100000014	hippurate	Xenobiotics	Benzoate Metabolism	0.0803762988075978	5.61039017986873e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100010955	perfluorooctanesulfonate (PFOS)	Xenobiotics	Chemical	0.0803474757828281	5.68129281567802e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_999926111	X - 26111	""	""	0.0802882052537491	5.82984324120502e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_561	glutamate	Amino Acid	Glutamate Metabolism	-0.0795974234870644	7.86532706247984e-09	5742
hMGS.01559	Intestinimonas massiliensis	met_100001765	3-methyladipate	Lipid	Fatty Acid, Dicarboxylate	0.0790032565227258	1.01560042249996e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_999925523	X - 25523	""	""	0.078794614116161	1.1104870403267e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100001791	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	0.0786239329732331	1.19446450448226e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100020272	dihydroferulic acid sulfate	Xenobiotics	Food Component/Plant	-0.0778115929849504	1.68637036744549e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100021363	vanillic acid glycine	Xenobiotics	Food Component/Plant	-0.0773378790008843	2.05877564139692e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100002825	4-oxo-retinoic acid	Cofactors and Vitamins	Vitamin A Metabolism	0.076631874540501	2.76578486942891e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_999923655	X - 23655	""	""	0.0764955007060578	2.92721203337708e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100006641	glycochenodeoxycholate 3-sulfate	Lipid	Primary Bile Acid Metabolism	-0.0762418300547526	3.25213088264366e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_1628	glycochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	-0.0747549302748558	5.98696828136523e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100001397	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	0.074700817056008	6.12010344982964e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_2051	methylsuccinate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.0746140374136939	6.33961579543177e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100005391	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	-0.0744890352158501	6.66926769433633e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100001590	isobutyrylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.0737848579324825	8.86013777711675e-08	5742
hMGS.01559	Intestinimonas massiliensis	met_100020824	lithocholic acid sulfate (2)	Lipid	Secondary Bile Acid Metabolism	0.0731719387431584	1.13216208590136e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100002249	N-acetyl-cadaverine	Amino Acid	Lysine Metabolism	-0.10658985547074	1.51802968924212e-07	2616
hMGS.01559	Intestinimonas massiliensis	met_1161	tigloylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	0.0723430395893489	1.57236080583297e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100020973	5-hydroxy-2-methylpyridine sulfate	Xenobiotics	Chemical	0.0722887610715381	1.60634603686248e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100019794	hydroxy-CMPF*	Lipid	Fatty Acid, Dicarboxylate	0.0711502071600197	2.50680056909475e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100006314	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	Lipid	Sphingomyelins	0.0711084503697686	2.54772870593275e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100008915	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	Lipid	Phosphatidylcholine (PC)	0.0705730288387645	3.13322808582645e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_100002107	palmitoyl sphingomyelin (d18:1/16:0)	Lipid	Sphingomyelins	0.0699267859705365	4.01394046405786e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_999922520	X - 22520	""	""	0.102636085081969	4.31404860479946e-07	2616
hMGS.01559	Intestinimonas massiliensis	met_999924556	X - 24556	""	""	0.10230590149668	4.69919986580079e-07	2616
hMGS.01559	Intestinimonas massiliensis	met_100009130	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	Lipid	Phosphatidylcholine (PC)	0.0693662662727147	4.96733095132676e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_999913658	X - 13658	""	""	-0.0688930330152982	5.93903466993567e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_999925520	X - 25520	""	""	0.0680650643308079	8.09596930365867e-07	5742
hMGS.01559	Intestinimonas massiliensis	met_1538	stearoyl sphingomyelin (d18:1/18:0)	Lipid	Sphingomyelins	0.0671248144061667	1.1460761738142e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100000406	ribitol	Carbohydrate	Pentose Metabolism	-0.066439493697434	1.47228135049942e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100003695	mannonate*	Xenobiotics	Food Component/Plant	-0.0662358941026464	1.58527829163802e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002008	5alpha-androstan-3alpha,17alpha-diol monosulfate	Lipid	Androgenic Steroids	0.0653256640349368	2.20065483217294e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100020622	methyl vanillate sulfate	Xenobiotics	Food Component/Plant	-0.0651508775678831	2.34257865046663e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_999912906	X - 12906	""	""	0.0650894587675564	2.39450450368725e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_275	creatinine	Amino Acid	Creatine Metabolism	0.0649047600919158	2.55739684300157e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_1123	chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	-0.0647639595870559	2.68866276088028e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100021000	hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	Lipid	Sphingomyelins	0.0646926401036893	2.7575953980543e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002717	hydroxycotinine	Xenobiotics	Tobacco Metabolite	-0.0644903450752394	2.96246838912316e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002028	androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids	-0.0644303798176567	3.02595132027717e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100009139	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	Lipid	Phosphatidylcholine (PC)	-0.0643774937483701	3.08302074222485e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100021839	2-methoxyhydroquinone sulfate (1)	Xenobiotics	Benzoate Metabolism	-0.0639768634324446	3.55013542262543e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100020515	2-naphthol sulfate	Xenobiotics	Chemical	-0.0630086920919316	4.97550267997095e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100020550	deoxycholic acid glucuronide	Lipid	Secondary Bile Acid Metabolism	-0.0629857730028975	5.01512754385395e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_999924425	X - 24425	""	""	0.0613880297595254	8.66112067893007e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002719	cotinine N-oxide	Xenobiotics	Tobacco Metabolite	-0.0611611435604175	9.3500172274686e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100001064	glycolithocholate	Lipid	Secondary Bile Acid Metabolism	0.0611227721033736	9.47158126147411e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_234	aspartate	Amino Acid	Alanine and Aspartate Metabolism	-0.0611154402851701	9.49498020786189e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002009	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Progestin Steroids	0.0610104017965384	9.83632353518192e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100002912	tauroursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	-0.0610103899964591	9.83636253207855e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_2029	azelate (C9-DC)	Lipid	Fatty Acid, Dicarboxylate	0.0610096291726161	9.83887721401891e-06	5742
hMGS.01559	Intestinimonas massiliensis	met_100001456	7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing	-0.0604049551895703	1.20439970445418e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100008956	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	Lipid	Sphingomyelins	0.0603851033581994	1.21238428447977e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100001856	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	-0.0598774112227116	1.43460859214031e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100021840	2-methoxyhydroquinone sulfate (2)	Xenobiotics	Benzoate Metabolism	-0.0597894593839872	1.47685599773732e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_999924328	X - 24328	""	""	0.0595870047453134	1.57865726638014e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100015791	sphingomyelin (d18:2/23:1)*	Lipid	Sphingomyelins	0.0593616916541919	1.6998079451404e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100020006	methylnaphthyl sulfate (2)*	Xenobiotics	Chemical	-0.0591058969740233	1.84807864397238e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_999921842	X - 21842	""	""	0.0589654870476872	1.93462190482023e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100008985	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	Lipid	Phosphatidylcholine (PC)	-0.0586732410902165	2.12728410328738e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100020591	3-hydroxypyridine glucuronide	Xenobiotics	Chemical	0.0583748690646874	2.34274506238402e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_117	homovanillate (HVA)	Amino Acid	Tyrosine Metabolism	-0.0582782283429173	2.41687383241926e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100015787	sphingomyelin (d18:1/19:0, d19:1/18:0)*	Lipid	Sphingomyelins	0.0579741628236687	2.6649353237521e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_144	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	-0.0575361403175166	3.06517723182329e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100009007	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Lipid	Plasmalogen	0.0574555209792183	3.14480923987752e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100001723	alpha-hydroxycaproate	Lipid	Fatty Acid, Monohydroxy	-0.0843568299675444	3.31355949261464e-05	2616
hMGS.01559	Intestinimonas massiliensis	met_100004494	3-hydroxycotinine glucuronide	Xenobiotics	Tobacco Metabolite	-0.0566424572319408	4.06567042837508e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_999918913	X - 18913	""	""	-0.0564988548946737	4.25285878235656e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100001423	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	-0.0562597828337472	4.58274574437143e-05	5742
hMGS.01559	Intestinimonas massiliensis	met_100001446	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing	0.0562179526089827	4.64290402144787e-05	5742
